Sprint Date,Team,Leave,Working Days,Availability,Story Points,Story Completed
2019-08-12,8,0,20,7,30,26
2019-09-09,8,0,19,7,25,25
2019-10-07,8,1,19,7,44,42
2019-11-04,8,2,18,7,50,46
2019-12-02,8,2,16,7,44,37
2019-12-30,8,2,17,7,42,35
2020-01-27,8,2,18,7,30,24
2020-02-24,8,1,19,7,32,31
2020-03-23,8,1,17,7,21,19
2020-04-20,8,1,18,7,27,25
2020-05-18,8,0,18,7.5,28,23
2020-06-15,8,2,18,7.5,36,36
2020-07-13,8,0,20,7.5,34,33
2020-08-10,8,1,19,7.5,35,29
2020-09-07,8,2,17,7.5,47,39
2020-10-05,8,2,18,7.5,29,24
2020-11-02,8,0,20,7.5,33,28
2020-11-30,8,0,18,7.5,34,31
2020-12-28,8,0,20,7.5,38,34
2021-01-25,8,0,20,7.5,48,41
2021-02-22,8,1,19,7.5,56,52
2021-03-22,8,0,20,7.5,39,32
2021-04-19,8,0,20,7.5,37,32
2021-05-17,8,1,19,7.5,37,32
2021-06-14,8,2,18,7.5,52,46
2021-07-12,8,0,20,7.5,22,21
2021-08-09,8,1,19,7.5,31,26
2021-09-06,8,1,19,7.5,38,34
2021-10-04,8,0,20,7.5,34,31
2021-11-01,8,0,20,7.5,27,22
2021-11-29,8,1,19,7.5,31,29
2021-12-27,8,0,20,7.5,28,23
2022-01-24,8,2,18,7.5,36,29
2022-02-21,8,0,20,7.5,47,47